App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 06:50:52 PM","43 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
38349,800000,38349,800000,38349,800000,38350,800000,
38449,800000,38449,800000,38450,800000,38450,800000,
38550,800000,38550,800000,38551,800000,38551,800000,
38651,800000,38651,800000,38651,800000,38652,800000,
38752,800000,38752,800000,38752,800000,38753,800000,
38853,800000,38853,800000,38854,800000,38854,800000,
38954,800000,38954,800000,38954,800000,38955,800000,
39054,800000,39055,800000,39055,800000,39055,800000,
39155,800000,39155,800000,39156,800000,39156,800000,
39255,800000,39256,800000,39256,800000,39257,800000,
39356,800000,39357,800000,39357,800000,39357,800000,
39457,800000,39458,800000,39458,800000,39458,800000,
39558,800000,39558,800000,39559,800000,39559,800000,
39659,800000,39659,800000,39660,800000,39660,800000,
39760,800000,39760,800000,39761,800000,39761,800000,
39861,800000,39861,800000,39861,800000,39862,800000,
39961,800000,39962,800000,39962,800000,39963,800000,
40062,800000,40063,800000,40063,800000,40063,800000,
40163,998400,40163,998400,40164,998400,40164,998400,
40264,1209600,40264,1209600,40264,1209600,40265,1209600,
40364,1209600,40365,1209600,40365,1209600,40365,1209600,
40466,800000,40466,800000,40466,800000,40468,800000,
40566,800000,40566,800000,40567,800000,40567,800000,
40668,800000,40668,800000,40669,800000,40669,800000,
40768,998400,40769,998400,40769,998400,40769,998400,
40869,800000,40870,800000,40871,800000,40871,800000,
40970,800000,40971,800000,40972,800000,40972,800000,
41071,800000,41072,800000,41072,800000,41072,800000,
41172,800000,41172,800000,41173,800000,41173,800000,
41273,998400,41274,998400,41274,800000,41274,800000,
41374,800000,41374,800000,41375,800000,41375,800000,
41474,800000,41475,800000,41475,800000,41476,800000,
41575,800000,41576,800000,41576,800000,41577,800000,
41676,998400,41677,998400,41677,998400,41678,998400,
41777,800000,41778,800000,41778,800000,41778,800000,
41878,800000,41878,800000,41879,800000,41879,800000,
41979,800000,41979,800000,41979,800000,41980,800000,
42080,800000,42080,800000,42081,800000,42081,800000,
42181,800000,42181,800000,42181,800000,42182,800000,
42281,998400,42282,998400,42282,998400,42282,998400,
42382,1209600,42382,1209600,42382,1209600,42383,1209600,
42482,800000,42483,800000,42483,800000,42484,800000,
42583,800000,42583,800000,42584,800000,42584,800000,
42684,800000,42684,800000,42685,800000,42685,800000,
42785,800000,42785,800000,42785,800000,42786,800000,
42885,800000,42885,800000,42886,800000,42886,800000,
42986,800000,42986,800000,42987,800000,42987,800000,
43087,800000,43087,800000,43088,800000,43088,800000,
43188,998400,43188,998400,43188,998400,43189,998400,
43288,1209600,43289,1209600,43289,1209600,43289,1209600,
43389,998400,43390,998400,43390,998400,43390,998400,
43490,998400,43491,998400,43491,998400,43491,998400,
43591,800000,43592,800000,43592,800000,43592,800000,
43692,998400,43692,998400,43693,998400,43693,998400,
43793,998400,43793,998400,43793,998400,43794,998400,
43894,800000,43894,800000,43895,800000,43895,800000,
,,,,,,,,

System Statistics:
Sensor Id,Name,Type,Average
1000,"CPU1 Frequency",CPU Frequency [kHz],1028135.1598173516
1001,"CPU2 Frequency",CPU Frequency [kHz],1028135.1598173516
1002,"CPU3 Frequency",CPU Frequency [kHz],1028398.1735159818
1003,"CPU4 Frequency",CPU Frequency [kHz],1029391.7808219178


